,WindPower
277,343.37699999999995
278,453.86400000000003
279,468.704
280,428.775
281,386.564
282,423.921
284,436.36300000000006
285,433.52
286,420.727
287,397.991
288,387.991
289,403.435
290,438.61400000000003
291,504.35400000000004
292,485.958
294,418.3
295,424.083
296,446.116
297,383.41
298,278.697
299,219.074
300,211.71200000000002
301,288.026
302,391.163
303,439.585
304,454.86400000000003
305,470.853
306,481.49699999999996
307,434.30800000000005
308,344.60400000000004
309,274.36
310,260.982
311,287.093
312,310.695
314,228.554
316,122.463
317,115.84
318,135.836
319,168.16099999999997
320,199.02900000000002
321,209.359
323,100.15700000000001
324,82.104
325,123.596
326,235.42700000000002
327,328.31300000000005
328,369.625
329,357.18199999999996
330,355.975
331,359.904
332,369.94699999999995
333,388.338
334,324.388
336,337.941
337,328.06300000000005
338,341.38699999999994
339,372.556
340,415.066
341,420.274
342,382.465
343,309.198
344,231.62
345,174.609
346,148.106
347,82.64299999999999
348,52.533
349,75.40899999999999
350,153.764
351,233.41
352,276.47
353,313.751
354,310.51599999999996
355,224.715
357,247.668
358,277.302
359,295.907
360,323.35400000000004
361,374.903
362,410.653
363,362.87800000000004
364,302.058
366,298.152
367,313.164
368,365.819
369,303.35200000000003
370,294.948
371,270.302
372,259.719
373,334.793
374,531.669
375,808.813
376,814.572
377,723.189
378,795.559
379,747.186
380,771.165
381,813.556
382,728.029
383,587.592
384,542.175
385,507.61400000000003
386,496.603
387,497.309
388,509.22
389,515.3919999999999
390,508.81699999999995
391,486.702
392,439.67900000000003
393,337.606
394,227.52900000000002
395,161.54
397,266.007
398,446.26099999999997
399,577.836
400,609.556
401,629.751
402,625.2719999999999
403,587.675
404,562.894
406,497.337
407,567.439
408,618.779
409,586.466
410,442.63199999999995
412,344.809
414,317.51099999999997
415,323.113
416,339.67400000000004
418,163.30700000000002
419,136.977
420,131.994
421,161.534
422,260.878
423,349.958
424,389.69699999999995
426,472.346
427,474.235
428,444.309
430,621.868
431,574.866
432,436.635
433,395.92699999999996
434,398.00699999999995
435,403.755
436,461.45599999999996
437,483.976
438,445.454
439,428.07
440,454.824
441,431.74300000000005
442,319.268
443,190.854
444,149.369
445,176.148
447,329.875
448,340.32599999999996
449,343.03
450,364.85699999999997
451,405.50699999999995
452,419.67
453,436.244
454,528.46
455,686.416
456,668.284
457,570.931
458,593.9259999999999
459,527.502
460,490.515
461,476.657
462,500.32199999999995
463,454.514
464,419.18199999999996
466,302.578
467,261.443
468,269.173
469,383.463
470,650.308
471,825.453
472,863.784
473,826.025
474,620.68
475,562.742
478,461.42699999999996
479,469.602
480,468.32800000000003
482,557.749
483,561.3340000000001
484,662.9910000000001
485,733.883
486,789.3560000000001
487,853.472
488,827.507
489,686.49
490,404.601
491,229.354
492,179.558
493,218.71099999999998
494,235.456
495,239.74
496,234.53099999999998
497,205.005
498,168.15400000000002
499,128.463
500,95.83200000000001
501,84.036
502,82.243
503,74.257
505,59.468999999999994
506,63.126999999999995
507,56.777
508,53.915
509,44.358999999999995
510,22.441999999999997
511,12.463
512,12.705
513,8.324
514,4.54
516,37.38
517,101.648
518,209.74099999999999
519,288.749
520,255.02
521,228.11900000000003
522,338.746
523,358.88800000000003
524,314.322
526,332.781
527,235.412
528,232.831
529,241.96599999999998
530,236.05599999999998
531,225.604
532,233.43099999999998
533,242.78599999999997
534,245.747
535,252.69799999999998
536,254.66299999999998
537,234.782
538,169.266
539,166.27200000000002
542,305.207
543,328.778
544,270.711
546,262.194
547,248.805
548,231.886
549,280.345
550,265.03
551,197.472
552,118.64399999999999
553,99.691
554,132.179
555,156.053
556,158.249
557,169.114
559,167.775
560,155.904
561,119.314
562,55.113
563,23.554000000000002
565,23.83
566,26.796999999999997
568,26.846999999999998
569,18.469
570,19.06
571,18.371
572,26.558000000000003
576,122.111
577,93.475
578,72.137
579,51.465
580,22.340999999999998
581,9.174
582,4.581
583,7.1610000000000005
584,28.885
585,33.934
586,30.557
587,42.788999999999994
588,67.14699999999999
589,96.73700000000001
590,144.339
591,184.47799999999998
592,207.295
593,235.477
594,276.05
595,316.30400000000003
596,355.994
598,470.87
599,485.95099999999996
600,663.2
601,673.51
602,503.42400000000004
603,650.32
604,407.56
605,389.145
606,426.68800000000005
607,446.11699999999996
608,413.63199999999995
609,413.18699999999995
610,378.227
611,335.06300000000005
612,294.91700000000003
613,311.686
614,439.61300000000006
615,561.269
616,691.3969999999999
617,1220.461
618,1448.529
619,1591.315
620,1623.4460000000001
621,1474.329
622,1197.3
623,965.47
624,761.862
625,625.244
626,564.9259999999999
627,577.754
628,582.634
629,531.181
630,495.199
631,472.543
632,433.75699999999995
634,416.241
635,370.561
636,300.73900000000003
637,282.988
638,273.758
639,150.335
640,82.30799999999999
641,131.514
642,135.89700000000002
643,148.869
644,238.09900000000002
645,307.437
646,220.92
647,142.195
648,125.755
649,372.631
650,645.284
651,863.258
652,911.8480000000001
653,892.441
654,805.048
655,784.1489999999999
656,763.184
657,787.429
661,555.939
662,618.66
663,668.3789999999999
665,588.15
667,557.768
668,539.317
669,494.649
670,481.501
671,498.173
672,523.717
674,587.57
675,667.429
676,713.73
677,898.585
679,1095.624
680,1215.687
681,1305.132
682,1464.8139999999999
683,1610.56
685,1811.1989999999998
686,1860.09
687,1844.273
688,1885.704
689,1867.204
690,1851.433
691,1852.9460000000001
692,1858.652
693,1784.192
694,1753.808
695,1558.872
696,1420.524
697,1330.905
698,1260.9260000000002
699,1262.0230000000001
700,1373.231
701,1601.401
702,1647.892
703,1420.585
704,1299.768
705,1243.691
706,1147.526
707,1165.489
708,1306.328
709,1402.5870000000002
710,1364.354
711,1242.258
712,1094.068
713,899.582
714,736.44
715,752.46
716,694.158
717,635.491
718,633.752
719,639.863
720,609.539
722,398.23400000000004
723,318.642
724,485.93800000000005
725,593.0269999999999
726,555.944
727,567.817
728,529.971
729,308.265
730,235.46099999999998
732,280.909
733,342.426
734,503.60900000000004
735,662.013
738,595.9630000000001
739,688.2180000000001
741,561.355
742,556.03
743,566.5269999999999
744,562.545
745,514.393
746,481.477
748,357.48400000000004
749,362.41900000000004
750,359.949
751,262.028
752,179.845
753,164.525
754,185.605
755,276.772
756,385.43699999999995
757,495.64300000000003
758,612.754
759,1044.18
760,814.112
761,609.928
762,481.449
763,518.085
764,565.745
765,608.448
766,616.109
767,609.849
768,606.058
769,633.055
771,611.029
772,554.256
773,489.077
774,434.32300000000004
775,424.42199999999997
776,446.07800000000003
777,456.124
778,472.83099999999996
779,544.094
780,585.932
782,545.445
783,476.19300000000004
784,325.275
785,151.737
786,57.519
787,228.304
788,586.941
789,650.2280000000001
790,800.9780000000001
791,1077.86
792,1131.5839999999998
793,960.085
794,749.936
795,723.1389999999999
796,621.7959999999999
797,556.539
798,511.647
799,454.775
800,357.97900000000004
801,254.201
802,181.43
803,152.269
804,166.231
805,275.373
806,561.639
807,844.7610000000001
808,858.664
810,721.971
811,695.462
812,671.434
814,677.692
815,656.5269999999999
817,622.494
818,655.222
819,686.431
820,719.2130000000001
821,728.336
822,707.301
823,655.461
824,539.236
825,385.961
826,296.283
827,334.719
828,389.8
829,471.704
830,624.826
831,844.6010000000001
832,913.331
833,914.689
834,814.605
835,782.37
836,743.044
837,723.2689999999999
838,687.5189999999999
840,640.131
841,633.703
842,598.856
843,556.722
844,527.493
845,509.04
846,465.841
847,364.704
848,249.06400000000002
849,125.42299999999999
850,56.79600000000001
851,52.893
852,105.20299999999999
853,185.55700000000002
854,259.66900000000004
855,326.98400000000004
856,357.70599999999996
857,339.66900000000004
858,355.51300000000003
859,335.719
860,319.878
861,300.878
862,328.535
863,402.99699999999996
864,533.39
865,485.925
866,437.014
867,891.815
868,1075.149
869,1176.697
870,1272.204
871,1244.913
872,1242.406
873,1160.71
875,927.063
876,710.058
877,649.13
878,584.773
880,430.334
881,276.211
882,253.75
883,258.63
884,273.64799999999997
885,357.778
886,488.44300000000004
887,582.516
888,844.585
889,1276.522
890,1353.942
891,1403.389
892,1307.623
893,1253.931
894,1202.588
895,1134.6889999999999
896,1075.147
897,1078.5439999999999
898,1093.683
899,1136.9089999999999
901,1149.133
903,959.342
904,968.448
905,1171.23
906,1254.612
907,1285.586
908,1336.364
909,1389.4879999999998
911,1406.1889999999999
912,1413.233
913,1400.6689999999999
915,1276.889
916,1295.405
917,1322.036
