,WindSpeed,IrrDirect,IrrDiffuse,Temperature,Percipitation,SnowFlow,SnowMass,AirDensity,RadSurface,RadTop,CloudCover,IsDayBin_Day,IsDayBin_Night,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
35,6.976,0.024,0.03,-5.2620000000000005,0.057,0.057,14.343,1.308,48.828,170.89700000000002,0.715,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,6.892,0.015,0.021,-5.577000000000001,0.047,0.047,14.365,1.31,34.558,139.438,0.693,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,6.925,0.01,0.009000000000000001,-6.0729999999999995,0.039,0.039,14.388,1.3119999999999998,15.37,66.089,0.682,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,7.047000000000001,0.0,0.0,-6.667000000000001,0.044000000000000004,0.044000000000000004,14.415,1.3130000000000002,0.16399999999999998,1.385,0.654,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,7.024,0.0,0.0,-7.149,0.022000000000000002,0.022000000000000002,14.44,1.315,0.0,0.0,0.594,0,1,1,0,0,0,0,0,0,0,0,0,0,0
40,7.074,0.0,0.0,-7.7170000000000005,0.018000000000000002,0.018000000000000002,14.455,1.3159999999999998,0.0,0.0,0.594,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,7.151,0.0,0.0,-8.329,0.018000000000000002,0.018000000000000002,14.472000000000001,1.317,0.0,0.0,0.58,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,7.4079999999999995,0.0,0.0,-8.756,0.023,0.023,14.494000000000002,1.317,0.0,0.0,0.609,0,1,1,0,0,0,0,0,0,0,0,0,0,0
43,7.312,0.0,0.0,-8.817,0.025,0.025,14.52,1.318,0.0,0.0,0.573,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,7.207999999999999,0.0,0.0,-8.764,0.027000000000000003,0.027000000000000003,14.548,1.318,0.0,0.0,0.598,0,1,1,0,0,0,0,0,0,0,0,0,0,0
